pca_components,alpha,umap_n_components,umap_n_neighbors,min_cluster_size,min_samples,cluster_selection_method,n_clusters,n_outliers,outlier_pct,silhouette_global,min_cluster_silhouette,n_bad_clusters,n_weak_clusters,largest_cluster_pct,davies_bouldin,score,meets_all
50,0.7,25,10,60,30,eom,13,1076,30.524822695035457,0.43292713165283203,0.23390485,0,0,20.794326241134755,0.7175116407934374,-1210.4964539007092,False
60,0.4,30,15,60,20,eom,11,1078,30.581560283687942,0.35781997442245483,0.22637028,0,0,21.163120567375888,0.7379672619418429,-1211.6312056737588,False
70,0.6,30,20,60,40,eom,5,1079,30.609929078014186,0.44219496846199036,0.34594804,0,0,36.45390070921986,0.6640404856998016,-1212.1985815602839,False
70,0.4,25,10,50,20,eom,17,1080,30.638297872340424,0.37633639574050903,0.0913739,0,2,16.4822695035461,0.8148828379985487,-1212.7659574468084,False
60,0.7,25,20,60,20,eom,15,1081,30.666666666666664,0.43151307106018066,0.1892731,0,1,11.177304964539008,0.8528367251424964,-1213.3333333333333,False
50,0.5,30,10,50,20,eom,16,1081,30.666666666666664,0.4431445598602295,0.25652722,0,0,10.836879432624114,0.7107093599742538,-1213.3333333333333,False
50,0.4,20,20,50,50,eom,3,736,20.879432624113477,0.40223169326782227,0.31506824,0,0,41.333333333333336,0.8107013500828518,-1213.3333333333333,False
70,0.4,20,15,60,20,eom,13,1081,30.666666666666664,0.33548209071159363,0.06984368,0,1,17.19148936170213,0.8007203419595199,-1213.3333333333333,False
60,0.4,20,15,60,20,eom,13,1081,30.666666666666664,0.327851802110672,0.07746864,0,2,17.361702127659576,0.8536549621149934,-1213.3333333333333,False
60,0.6,25,10,60,50,eom,5,1082,30.69503546099291,0.4513118863105774,0.35267824,0,0,38.32624113475177,0.611825554029449,-1213.900709219858,False
70,0.3,25,10,50,20,eom,15,1084,30.751773049645394,0.35310330986976624,0.0056628045,0,2,17.361702127659576,0.9481436034531592,-1215.035460992908,False
70,0.5,25,10,50,20,eom,15,1084,30.751773049645394,0.4265424907207489,0.20884721,0,0,13.304964539007091,0.6628890895430587,-1215.035460992908,False
